"sl_no","gender","ssc_p","ssc_b","hsc_p","hsc_b","hsc_s","degree_p","degree_t","workex","etest_p","specialisation","mba_p","status","salary"
445,"F",77,"Central",87,"Central","Commerce",59,"Comm&Mgmt","No",68,"Mkt&Fin",68.63,"Placed",218000
446,"M",75,"Others",70.29,"Others","Commerce",71,"Comm&Mgmt","No",95,"Mkt&Fin",66.94,"Placed",240000
447,"M",79,"Others",76,"Others","Science",83,"Comm&Mgmt","Yes",88,"Mkt&Fin",66.28,"Placed",250000
448,"M",79,"Others",76,"Others","Science",83,"Sci&Tech","Yes",60,"Mkt&Fin",66.28,"Placed",275000
449,"M",63,"Others",71.4,"Others","Commerce",61.4,"Comm&Mgmt","No",68,"Mkt&Fin",66.88,"Placed",240000
450,"M",62,"Others",51,"Others","Science",52,"Others","No",68.44,"Mkt&HR",62.77,"Not Placed",NA
451,"F",59,"Central",60,"Others","Commerce",56,"Comm&Mgmt","No",55,"Mkt&HR",57.9,"Placed",220000
452,"M",55.68,"Others",60,"Others","Commerce",61,"Comm&Mgmt","No",59,"Mkt&Fin",58.3,"Not Placed",NA
453,"M",62,"Central",67,"Central","Commerce",58,"Comm&Mgmt","Yes",62,"Mkt&HR",58.54,"Placed",250000
454,"M",56,"Central",52,"Central","Science",52,"Sci&Tech","No",66,"Mkt&HR",59.43,"Not Placed",NA
455,"M",63,"Central",72,"Central","Commerce",68,"Comm&Mgmt","No",78,"Mkt&HR",60.44,"Placed",380000
456,"F",55,"Central",67,"Central","Commerce",64,"Comm&Mgmt","No",60,"Mkt&Fin",67.28,"Not Placed",NA
457,"M",69,"Others",60,"Others","Commerce",65,"Comm&Mgmt","No",87.55,"Mkt&Fin",52.81,"Placed",3e+05
458,"M",73,"Central",60,"Others","Science",77,"Sci&Tech","Yes",73.35,"Mkt&Fin",66.06,"Placed",290000
459,"F",61,"Central",81,"Central","Commerce",66.4,"Comm&Mgmt","No",50.89,"Mkt&HR",62.21,"Placed",278000
460,"M",69,"Central",63,"Others","Science",65,"Comm&Mgmt","Yes",55,"Mkt&HR",58.23,"Placed",360000
461,"M",58,"Central",70,"Central","Commerce",66,"Comm&Mgmt","No",62,"Mkt&Fin",62.54,"Placed",3e+05
462,"M",55,"Others",50,"Others","Commerce",61.26,"Comm&Mgmt","No",55,"Mkt&HR",62.79,"Not Placed",NA
463,"F",68,"Others",79,"Others","Commerce",69,"Comm&Mgmt","No",83,"Mkt&Fin",71.96,"Not Placed",NA
464,"M",58,"Central",64.8,"Central","Arts",56,"Comm&Mgmt","Yes",92.66,"Mkt&HR",57.34,"Placed",255000
465,"M",84,"Others",90,"Others","Arts",68,"Comm&Mgmt","Yes",91.34,"Mkt&Fin",68.55,"Placed",240000
466,"F",47,"Central",55,"Others","Science",65,"Comm&Mgmt","No",62,"Mkt&HR",65.04,"Not Placed",NA
467,"M",52,"Central",57,"Central","Arts",52,"Comm&Mgmt","No",93.4,"Mkt&HR",62.79,"Not Placed",NA
468,"F",62,"Others",63,"Others","Commerce",56,"Comm&Mgmt","No",57,"Mkt&HR",71.49,"Placed",218000
469,"M",51.57,"Others",40,"Others","Science",58,"Sci&Tech","No",71,"Mkt&HR",55.3,"Not Placed",NA
470,"M",65,"Central",68,"Central","Arts",64,"Comm&Mgmt","No",75,"Mkt&Fin",57.8,"Placed",250000
471,"F",77.44,"Central",92,"Others","Commerce",72,"Comm&Mgmt","Yes",94,"Mkt&Fin",67.13,"Placed",250000
472,"M",72,"Others",60.5,"Others","Science",69,"Sci&Tech","Yes",53.7,"Mkt&Fin",66.06,"Placed",336000
473,"F",65,"Central",71.5,"Central","Commerce",64,"Comm&Mgmt","No",75,"Mkt&Fin",60.5,"Placed",3e+05
474,"M",65.2,"Central",61.4,"Central","Commerce",64.8,"Comm&Mgmt","Yes",93.4,"Mkt&Fin",57.34,"Placed",270000
475,"M",62,"Others",65,"Others","Commerce",64,"Comm&Mgmt","No",93.4,"Mkt&Fin",64.34,"Placed",250000
476,"M",87,"Central",74,"Central","Science",65,"Sci&Tech","Yes",75,"Mkt&HR",72.29,"Placed",3e+05
477,"M",81,"Others",68,"Others","Science",64,"Sci&Tech","No",93,"Mkt&Fin",62.56,"Placed",411000
478,"M",62,"Central",63,"Others","Science",66,"Comm&Mgmt","No",85,"Mkt&HR",55.14,"Placed",233000
479,"M",87,"Central",82,"Central","Commerce",67,"Comm&Mgmt","No",88.56,"Mkt&Fin",62.9,"Placed",350000
480,"M",80.4,"Central",73.4,"Central","Science",77.72,"Sci&Tech","Yes",81.2,"Mkt&HR",76.26,"Placed",4e+05
481,"F",83.33,"Others",69.4,"Others","Science",84,"Sci&Tech","No",59.32,"Mkt&HR",76.18,"Placed",252000
482,"M",80.6,"Others",82,"Others","Commerce",77.6,"Comm&Mgmt","No",91,"Mkt&Fin",74.49,"Placed",4e+05
483,"F",65,"Central",75,"Central","Commerce",69,"Comm&Mgmt","Yes",72,"Mkt&Fin",64.66,"Placed",2e+05
484,"M",84.2,"Central",69.4,"Central","Science",65,"Sci&Tech","Yes",80,"Mkt&HR",52.72,"Placed",255000
485,"M",65,"Others",63,"Central","Commerce",64,"Comm&Mgmt","No",84,"Mkt&Fin",64.34,"Not Placed",NA
486,"F",61,"Central",68.4,"Central","Commerce",58,"Comm&Mgmt","Yes",77,"Mkt&Fin",67.99,"Placed",360000
487,"M",71,"Others",62,"Others","Science",68,"Sci&Tech","Yes",61,"Mkt&Fin",65.83,"Placed",295000
488,"F",83.84,"Others",89.83,"Others","Commerce",77.2,"Comm&Mgmt","Yes",78.74,"Mkt&Fin",76.18,"Placed",4e+05
489,"M",80,"Others",80,"Others","Commerce",72,"Comm&Mgmt","Yes",63.79,"Mkt&Fin",66.04,"Placed",290000
490,"M",52,"Central",63,"Others","Science",65,"Sci&Tech","Yes",86,"Mkt&HR",56.09,"Not Placed",NA
491,"F",52,"Others",52,"Others","Science",55,"Sci&Tech","No",67,"Mkt&HR",59.32,"Not Placed",NA
492,"M",60.8,"Central",66.6,"Central","Commerce",54,"Comm&Mgmt","Yes",93.4,"Mkt&Fin",60.22,"Placed",3e+05
493,"M",74,"Others",57,"Others","Science",69.5,"Comm&Mgmt","Yes",60,"Mkt&Fin",57.99,"Placed",250000
494,"M",84,"Others",90.9,"Others","Science",64.5,"Sci&Tech","No",86.04,"Mkt&Fin",59.42,"Placed",270000
495,"M",73,"Others",71.4,"Others","Commerce",68,"Comm&Mgmt","Yes",80,"Mkt&Fin",57.24,"Placed",265000
496,"F",66,"Central",62,"Central","Commerce",73,"Comm&Mgmt","No",58,"Mkt&HR",64.36,"Placed",210000
497,"M",68.2,"Central",72.8,"Central","Commerce",66.6,"Comm&Mgmt","Yes",96,"Mkt&Fin",70.85,"Placed",3e+05
498,"M",65,"Central",64,"Others","Commerce",69,"Comm&Mgmt","Yes",74.4,"Mkt&HR",58.31,"Placed",3e+05
499,"M",63,"Central",77,"Others","Commerce",72,"Others","No",60,"Mkt&HR",58.87,"Placed",270000
500,"M",80.92,"Others",78.5,"Others","Commerce",67,"Comm&Mgmt","No",68.71,"Mkt&Fin",60.99,"Placed",275000
501,"F",69,"Central",73,"Central","Commerce",65,"Comm&Mgmt","No",70,"Mkt&Fin",57.31,"Placed",220000
502,"M",84,"Others",73,"Others","Science",66,"Comm&Mgmt","Yes",62,"Mkt&Fin",66.04,"Placed",290000
503,"M",67,"Others",91,"Others","Commerce",58,"Sci&Tech","No",55,"Mkt&HR",58.8,"Placed",270000
504,"F",74.9,"Others",63,"Others","Science",62,"Comm&Mgmt","Yes",64,"Mkt&Fin",63.08,"Placed",940000
505,"M",78.5,"Central",65.5,"Central","Science",67,"Sci&Tech","Yes",95,"Mkt&Fin",64.86,"Placed",280000
506,"F",74,"Central",60,"Others","Science",69,"Comm&Mgmt","No",78,"Mkt&HR",65.56,"Placed",216000
507,"M",67,"Others",68,"Others","Commerce",64,"Comm&Mgmt","Yes",74.4,"Mkt&HR",53.49,"Placed",3e+05
508,"M",74,"Central",66.2,"Others","Science",69,"Comm&Mgmt","No",70,"Mkt&HR",54.48,"Placed",220000
509,"M",84.2,"Central",80,"Others","Science",65,"Sci&Tech","Yes",95,"Mkt&Fin",72.29,"Placed",252000
510,"F",46,"Others",58,"Others","Commerce",79,"Comm&Mgmt","No",50.48,"Mkt&HR",64.95,"Not Placed",NA
511,"M",55.6,"Others",52,"Others","Science",50.8,"Comm&Mgmt","No",75,"Mkt&HR",58.52,"Not Placed",NA
512,"F",69,"Central",78,"Central","Commerce",72,"Comm&Mgmt","No",71,"Mkt&HR",62.74,"Placed",3e+05
513,"F",66.5,"Central",62,"Central","Science",71.93,"Sci&Tech","Yes",64,"Mkt&Fin",64.08,"Placed",260000
514,"M",60.23,"Others",65,"Others","Science",64,"Sci&Tech","Yes",75,"Mkt&HR",56.09,"Placed",233000
515,"F",72,"Central",56,"Others","Science",69,"Comm&Mgmt","No",55.6,"Mkt&HR",65.63,"Placed",2e+05
