"locality","type_of_property","subtype_of_property","price","type_of_sale","number_of_rooms","house_area","fully_equipped_kitchen","furnished","open_fire","terrace","terrace_area","garden","garden_area","surface_of_the_land","surface_of_the_plot_of_land","number_of_facades","swimming_pool","state_of_the_building","construction_year"
9600,"house","house","357485","for sale",3,"207",0,"None",0,0,"None",1,"None",619,"None","3",0,"None","2019"
2222,"apartment","apartment","575000","for sale",2,"98",0,"None",0,0,"None",0,"None",NA,"None","2",0,"good","None"
1150,"apartment","ground floor","325000","for sale",2,"90",1,"None",0,1,"20",0,"None",NA,"None","2",0,"as new","1965"
9000,"apartment","loft","395000","for sale",0,"173",1,"None",0,0,"None",0,"None",NA,"None","2",0,"None","None"
2170,"apartment","apartment","179000","for sale",3,"80",1,"None",0,0,"None",0,"None",NA,"None","3",0,"good","1960"
3960,"apartment","apartment","164500","for sale",1,"70",1,"None",0,1,"11",1,"11",NA,"None","3",0,"as new","2019"
4550,"house","house","290000","for sale",3,"142",1,"None",0,0,"None",1,"None",1500,"None","4",0,"good","None"
1330,"house","house","359000","for sale",3,"120",0,"None",0,1,"None",1,"None",1328,"None","4",0,"to renovate","1960"
6670,"apartment","apartment","265000","for sale",2,"125",1,"None",0,1,"34",0,"None",NA,"None","4",0,"None","None"
2560,"apartment","ground floor","198000","for sale",1,"64",1,"None",0,0,"None",0,"None",NA,"None","3",0,"as new","2020"
8670,"house","villa","835000","for sale",3,"235",1,"None",0,1,"None",1,"None",1150,"None","None",0,"as new","None"
2140,"apartment","flat studio","115000","for sale",1,"75",1,"None",0,0,"None",0,"None",NA,"None","2",0,"to restore","None"
2850,"apartment","penthouse","249000","for sale",2,"98",1,"None",0,1,"60",0,"None",NA,"None","2",0,"as new","2019"
2650,"house","house","395000","for sale",2,"123",0,"None",0,1,"14",0,"None",0,"None","3",0,"None","2019"
8400,"apartment","apartment","159000","for sale",2,"None",0,"None",0,1,"None",0,"None",NA,"None","None",0,"None","1967"
4102,"house","house","79000","for sale",3,"118",1,"None",0,1,"None",0,"None",92,"None","2",0,"to renovate","None"
7530,"house","house","183500","for sale",3,"100",1,"None",0,0,"None",0,"None",271,"None","2",0,"None","None"
7100,"apartment","apartment","259000","for sale",3,"134",1,"None",0,1,"None",0,"None",NA,"None","None",0,"as new","None"
4851,"house","villa","439000","for sale",4,"422",1,"None",0,1,"None",1,"870",1000,"None","4",0,"good","2008"
2560,"house","house","325000","for sale",4,"None",1,"None",0,0,"None",1,"None",320,"None","3",0,"as new","None"
5544,"house","villa","249000","for sale",3,"160",1,"None",0,1,"22",1,"2020",2020,"None","None",0,"as new","None"
2170,"house","house","305000","for sale",5,"170",1,"None",0,1,"17",1,"83",195,"None","None",0,"good","None"
1340,"house","house","450000","for sale",3,"160",1,"None",0,1,"15",1,"None",1077,"None","4",0,"good","None"
1000,"apartment","duplex","455000","for sale",5,"165",0,"None",0,0,"None",0,"None",NA,"None","3",0,"as new","1889"
2440,"house","villa","739000","for sale",3,"437",1,"None",0,0,"None",1,"None",2316,"None","4",1,"as new","1994"
1640,"house","house","457600","for sale",4,"205",1,"None",0,0,"None",0,"None",590,"None","3",0,"as new","2019"
8830,"house","house","280000","for sale",4,"160",0,"None",0,0,"None",0,"None",332,"None","2",0,"just renovated","None"
5060,"house","mixed use building","275000","for sale",4,"240",1,"None",0,0,"None",0,"None",250,"None","4",0,"to be done up","None"
3840,"apartment","service flat","213000","for sale",1,"65",0,"None",0,1,"6",0,"None",NA,"None","4",0,"None","2019"
6220,"apartment","apartment","179000","for sale",1,"64",1,"None",0,0,"None",0,"None",NA,"None","3",0,"None","2017"
9402,"house","house","168000","for sale",2,"134",1,"None",0,1,"None",0,"None",112,"None","2",0,"good","None"
8660,"apartment","apartment","235000","for sale",2,"90",1,"None",0,1,"11",0,"None",NA,"None","2",0,"as new","2014"
8400,"apartment","apartment","180000","for sale",2,"69",1,"None",0,0,"None",0,"None",NA,"None","2",0,"good","1967"
2280,"house","house","269374","for sale",3,"None",0,"None",0,0,"None",0,"None",139,"None","None",0,"None","None"
7020,"apartment","apartment","185000","for sale",2,"76",1,"None",0,0,"None",0,"None",NA,"None","None",0,"good","2010"
1070,"apartment","apartment","445000","for sale",2,"162",1,"None",0,1,"None",0,"None",NA,"None","None",0,"as new","None"
7850,"apartment","apartment","160000","for sale",2,"70",1,"None",0,0,"None",0,"None",NA,"None","None",0,"good","1999"
6220,"house","house","247500","for sale",3,"160",1,"None",0,0,"None",0,"None",600,"None","3",0,"None","None"
6560,"house","house","110000","for sale",3,"123",1,"None",0,0,"None",1,"255",310,"None","3",0,"None","None"
7100,"house","house","165000","for sale",2,"None",0,"None",0,0,"None",0,"None",530,"None","2",0,"good","None"
8530,"house","exceptional property","285663","for sale",3,"181",1,"None",0,0,"None",0,"None",249,"None","2",0,"as new","2019"
6044,"apartment","apartment","115000","for sale",4,"200",0,"None",0,0,"None",0,"None",NA,"None","None",0,"good","None"
2020,"house","house","105000","for sale",2,"None",0,"None",0,0,"None",0,"None",152,"None","2",0,"to renovate","None"
8200,"apartment","apartment","335000","for sale",2,"98",1,"None",0,1,"6",0,"None",NA,"None","None",0,"as new","2020"
2660,"apartment","apartment","215500","for sale",2,"86",1,"None",0,1,"8",0,"None",NA,"None","2",0,"as new","2020"
9700,"house","house","242000","for sale",3,"None",0,"None",0,0,"None",0,"None",2420,"None","4",0,"None","None"
8460,"house","farmhouse","800000","for sale",3,"None",0,"None",1,0,"None",0,"None",44496,"None","4",0,"to renovate","1874"
1600,"house","house","359000","for sale",3,"220",1,"None",0,0,"None",1,"176",335,"None","None",0,"as new","1951"
1780,"apartment","duplex","395000","for sale",2,"170",1,"None",0,1,"None",0,"None",NA,"None","2",0,"None","2000"
3990,"apartment","duplex","240558","for sale",2,"112",1,"None",0,1,"13",0,"None",NA,"None","3",0,"as new","2020"
9500,"house","mixed use building","375000","for sale",0,"None",0,"None",0,0,"None",0,"None",150,"None","None",0,"None","1997"
8300,"apartment","apartment","578000","for sale",1,"64",0,"None",0,0,"None",0,"None",NA,"None","None",0,"as new","1975"
4610,"house","bungalow","299000","for sale",2,"120",1,"None",0,0,"None",0,"None",400,"None","4",0,"as new","None"
5100,"apartment","apartment","262500","for sale",2,"100",1,"None",0,1,"15",0,"None",NA,"None","4",0,"None","2020"
7864,"house","house","79000","for sale",1,"60",1,"None",0,0,"None",0,"None",183,"None","3",0,"None","None"
4040,"apartment","apartment","180000","for sale",2,"109",1,"None",0,0,"None",0,"None",NA,"None","None",0,"just renovated","1980"
2550,"house","house","595000","for sale",4,"285",1,"None",1,1,"90",0,"None",285,"None","2",0,"as new","2013"
1380,"house","house","895000","for sale",7,"450",1,"None",0,1,"40",1,"1200",2000,"None","4",0,"good","1970"
4420,"house","house","199900","for sale",1,"100",1,"None",0,0,"None",0,"None",0,"None","2",0,"good","None"
1180,"apartment","ground floor","445000","for sale",3,"143",1,"None",0,1,"24",0,"None",NA,"None","None",0,"as new","2019"
9100,"apartment","apartment","284000","for sale",2,"106",1,"None",0,1,"7",0,"None",NA,"None","None",0,"None","None"
9031,"house","house","493800","for sale",3,"167",1,"None",0,0,"None",1,"None",596,"None","3",0,"as new","2020"
1080,"apartment","duplex","160000","for sale",3,"145",0,"None",0,0,"None",0,"None",NA,"None","2",0,"None","1904"
3360,"house","house","289000","for sale",4,"None",1,"None",0,1,"None",0,"None",396,"None","3",0,"good","None"
8400,"apartment","apartment","195000","for sale",2,"95",1,"None",0,1,"4",0,"None",NA,"None","2",0,"None","1958"
5000,"apartment","apartment","295000","for sale",2,"100",1,"None",0,1,"6",0,"None",NA,"None","None",0,"None","2010"
3201,"house","house","270000","for sale",4,"None",0,"None",0,0,"None",0,"None",1054,"None","4",0,"to renovate","None"
4020,"house","house","169000","for sale",3,"100",1,"None",0,0,"None",0,"None",47,"None","2",0,"just renovated","1955"
9600,"house","apartment block","389000","for sale",6,"255",1,"None",0,1,"22",0,"None",205,"None","2",0,"good","1936"
3040,"house","house","699000","for sale",4,"260",1,"None",0,1,"200",0,"None",1175,"None","4",0,"as new","1981"
4653,"apartment","apartment","235000","for sale",1,"90",1,"None",0,0,"None",0,"None",NA,"None","None",1,"None","2015"
2200,"apartment","apartment","155000","for sale",1,"73",1,"None",0,1,"None",0,"None",NA,"None","2",0,"good","1995"
8434,"apartment","apartment","450000","for sale",2,"65",0,"None",0,0,"None",0,"None",NA,"None","2",0,"None","2016"
8434,"house","villa","440000","for sale",3,"200",0,"None",0,1,"None",1,"None",720,"None","None",0,"None","1968"
1083,"apartment","apartment","225000","for sale",2,"98",1,"None",0,0,"None",0,"None",NA,"None","None",0,"None","2008"
1420,"apartment","apartment","299000","for sale",3,"124",1,"None",0,1,"11",0,"None",NA,"None","3",0,"as new","2018"
1000,"apartment","apartment","895000","for sale",3,"230",1,"None",0,1,"None",0,"None",NA,"None","2",0,"good","1957"
3000,"apartment","apartment","278800","for sale",2,"80",1,"None",0,1,"15",0,"None",NA,"None","None",0,"None","None"
6940,"apartment","apartment","65000","for sale",1,"38",0,"None",1,0,"None",0,"None",NA,"None","2",1,"good","1982"
8400,"apartment","flat studio","125000","for sale",0,"38",1,"None",0,1,"None",0,"None",NA,"None","None",0,"as new","2004"
7134,"house","house","99000","for sale",2,"97",1,"None",0,1,"None",1,"800",880,"None","2",0,"to be done up","None"
9190,"house","bungalow","160000","for sale",1,"80",1,"None",1,0,"None",1,"1100",1100,"None","4",0,"good","1967"
4100,"house","apartment block","339000","for sale",6,"None",0,"None",0,0,"None",0,"None",0,"None","3",0,"good","None"
4430,"house","house","225000","for sale",3,"None",0,"None",0,0,"None",0,"None",210,"None","2",0,"None","1982"
8730,"house","house","290000","for sale",3,"119",1,"None",0,0,"None",1,"None",212,"None","3",0,"None","None"
3800,"house","house","275000","for sale",4,"230",1,"None",0,1,"50",0,"None",333,"None","3",0,"good","1954"
1060,"apartment","apartment","555000","for sale",2,"110",1,"None",0,1,"27",0,"None",NA,"None","None",0,"as new","2018"
7141,"house","villa","400000","for sale",6,"275",1,"None",0,1,"None",0,"None",9840,"None","4",0,"good","2007"
2300,"house","villa","749000","for sale",4,"550",1,"None",0,0,"None",1,"None",3300,"None","4",0,"good","1992"
9280,"house","house","306737","for sale",3,"139",0,"None",0,1,"None",1,"None",298,"None","None",0,"None","2020"
9190,"apartment","apartment","234000","for sale",2,"95",1,"None",0,1,"6",0,"None",NA,"None","2",0,"as new","1999"
2000,"apartment","apartment","399000","for sale",2,"180",0,"None",0,1,"6",0,"None",NA,"None","2",0,"None","None"
1120,"apartment","apartment","265617","for sale",2,"100",1,"None",0,1,"9",0,"None",NA,"None","3",0,"None","2019"
8300,"apartment","apartment","750000","for sale",2,"105",1,"None",0,0,"None",0,"None",NA,"None","None",0,"as new","2009"
1410,"house","house","460000","for sale",3,"None",0,"None",0,0,"None",0,"None",0,"None","2",0,"as new","None"
8500,"house","house","179000","for sale",2,"89",0,"None",0,1,"None",0,"None",60,"None","2",0,"good","1874"
8400,"apartment","apartment","192000","for sale",2,"47",1,"None",0,1,"4",0,"None",NA,"None","2",0,"as new","1995"
7940,"house","villa","250000","for sale",4,"None",0,"None",0,1,"None",0,"None",0,"None","4",0,"None","1973"
2620,"apartment","duplex","599000","for sale",4,"203",1,"None",0,1,"120",0,"None",NA,"None","None",0,"as new","1969"
5660,"house","house","80000","for sale",1,"45",1,"None",0,0,"None",1,"593",656,"None","3",0,"to renovate","None"
2520,"apartment","apartment","249000","for sale",1,"69",1,"None",0,1,"15",1,"40",NA,"None","2",0,"as new","2018"
9200,"house","house","375000","for sale",3,"None",0,"None",0,0,"None",0,"None",122,"None","None",0,"as new","None"
4280,"apartment","apartment","228500","for sale",2,"94",1,"None",0,0,"None",0,"None",NA,"None","2",0,"as new","2019"
3380,"apartment","apartment","308000","for sale",2,"118",1,"None",0,1,"18",0,"None",NA,"None","2",0,"None","2021"
2170,"apartment","apartment","205000","for sale",2,"88",1,"None",0,1,"None",0,"None",NA,"None","3",0,"good","1931"
4800,"house","house","75000","for sale",2,"88",1,"None",0,0,"None",0,"None",43,"None","2",0,"None","None"
8620,"apartment","apartment","165000","for sale",1,"47",0,"None",0,1,"None",1,"None",NA,"None","None",0,"as new","1979"
9620,"apartment","apartment","240000","for sale",2,"125",1,"None",0,1,"None",0,"None",NA,"None","None",0,"as new","2020"
3590,"apartment","apartment","206200","for sale",2,"82",1,"None",0,1,"11",0,"None",NA,"None","None",0,"as new","2018"
9160,"house","house","390000","for sale",4,"None",0,"None",0,0,"None",0,"None",88,"None","None",0,"to be done up","1947"
2020,"house","house","267000","for sale",5,"None",1,"None",0,0,"None",0,"None",70,"None","None",0,"as new","None"
3970,"house","house","139000","for sale",2,"133",0,"None",0,0,"None",0,"None",412,"None","3",0,"None","None"
7334,"house","house","265000","for sale",4,"261",1,"None",0,1,"None",0,"None",290,"None","2",0,"good","None"
4030,"house","house","185000","for sale",2,"144",1,"None",0,1,"24",1,"110",210,"None","2",0,"good","1950"
8300,"apartment","apartment","595000","for sale",2,"88",1,"None",0,0,"None",0,"None",NA,"None","2",0,"None","1986"
2800,"apartment","apartment","795000","for sale",2,"166",1,"None",0,1,"21",0,"None",NA,"None","None",0,"as new","2018"
9000,"apartment","apartment","495000","for sale",1,"100",1,"None",0,1,"None",0,"None",NA,"None","None",0,"as new","2015"
9280,"house","house","179000","for sale",3,"160",0,"None",0,1,"None",0,"None",0,"None","None",0,"as new","1966"
8301,"apartment","apartment","243000","for sale",1,"None",1,"None",0,0,"None",1,"None",NA,"None","None",0,"as new","2002"
8810,"house","house","269000","for sale",3,"None",0,"None",0,0,"None",0,"None",978,"None","4",0,"None","None"
1560,"house","house","305000","for sale",4,"220",1,"None",0,1,"33",0,"None",140,"None","3",0,"good","1918"
6464,"house","exceptional property","450000","for sale",8,"550",0,"None",0,1,"None",0,"None",3000,"None","4",0,"as new","None"
4680,"house","house","321250","for sale",4,"140",1,"None",0,1,"24",1,"150",340,"None","3",0,"None","2020"
4042,"house","house","400920","for sale",4,"151",1,"None",0,1,"30",1,"250",437,"None","3",0,"None","2019"
7780,"house","house","185000","for sale",2,"None",1,"None",0,0,"None",0,"None",300,"None","3",0,"good","None"
4053,"apartment","apartment","210000","for sale",2,"120",0,"None",0,1,"5",0,"None",NA,"None","2",0,"None","None"
8370,"house","house","219000","for sale",3,"120",1,"None",0,0,"None",0,"None",90,"None","None",0,"as new","None"
9300,"house","house","265000","for sale",4,"222",1,"None",0,1,"None",1,"465",549,"None","2",0,"good","1936"
1800,"apartment","apartment","179000","for sale",1,"52",1,"None",0,1,"4",0,"None",NA,"None","3",0,"good","2013"
1050,"apartment","apartment","450000","for sale",2,"105",0,"None",0,1,"2",0,"None",NA,"None","3",0,"good","1960"
9690,"house","house","235000","for sale",3,"220",0,"None",0,0,"None",1,"None",277,"None","None",0,"None","None"
6460,"house","house","19999","for sale",2,"None",1,"None",0,0,"None",0,"None",232,"None","4",0,"good","None"
2000,"apartment","apartment","329000","for sale",2,"88",0,"None",0,1,"15",0,"None",NA,"None","None",0,"None","2017"
4400,"house","house","277793","for sale",3,"140",0,"None",0,1,"None",0,"None",581,"None","3",0,"None","2020"
8400,"apartment","apartment","195000","for sale",1,"73",1,"None",0,1,"18",0,"None",NA,"None","1",1,"as new","2022"
1200,"apartment","apartment","470000","for sale",3,"113",1,"None",0,1,"70",1,"12",NA,"None","None",0,"as new","2020"
6690,"house","house","89000","for sale",0,"150",1,"None",0,0,"None",0,"None",785,"None","2",0,"None","None"
1160,"apartment","apartment","510000","for sale",3,"113",1,"None",0,1,"20",0,"None",NA,"None","2",0,"None","2017"
2830,"house","house","249000","for sale",3,"None",1,"None",0,1,"None",0,"None",170,"None","None",0,"to be done up","None"
8560,"house","house","259000","for sale",4,"187",0,"None",0,0,"None",0,"None",477,"None","3",0,"to be done up","None"
2560,"house","house","196000","for sale",1,"118",0,"None",0,1,"None",1,"None",457,"None","None",0,"None","1969"
1853,"house","town house","428000","for sale",3,"191",1,"None",1,1,"None",1,"None",331,"None","3",0,"None","1979"
6953,"house","villa","385350","for sale",4,"136",1,"None",0,0,"None",1,"1073",1194,"None","4",0,"as new","2020"
8300,"apartment","apartment","269000","for sale",1,"32",1,"None",0,0,"None",0,"None",NA,"None","None",0,"None","1963"
8420,"apartment","service flat","269000","for sale",1,"68",0,"None",0,1,"9",0,"None",NA,"None","None",0,"None","2016"
9000,"apartment","apartment","365000","for sale",3,"111",1,"None",0,1,"11",0,"None",NA,"None","None",0,"as new","2019"
9750,"house","villa","675000","for sale",2,"220",0,"None",0,1,"None",0,"None",1960,"None","4",0,"as new","2002"
3390,"house","house","135000","for sale",1,"None",0,"None",0,0,"None",0,"None",3786,"None","4",0,"None","None"
4430,"house","house","230000","for sale",4,"182",1,"None",0,0,"None",0,"None",210,"None","2",0,"to be done up","None"
2390,"house","villa","649900","for sale",3,"None",1,"None",0,1,"None",0,"None",1017,"None","4",0,"None","2001"
3700,"apartment","apartment","187000","for sale",3,"131",1,"None",0,0,"None",1,"1",NA,"None","None",0,"good","1981"
2820,"house","villa","599000","for sale",6,"370",1,"None",0,1,"90",0,"None",795,"None","4",1,"good","None"
2550,"house","house","329000","for sale",3,"140",1,"None",0,1,"30",0,"None",95,"None","2",0,"None","None"
7080,"apartment","apartment","135300","for sale",1,"81",1,"None",0,1,"None",0,"None",NA,"None","4",0,"as new","2014"
9890,"apartment","apartment","249500","for sale",2,"97",0,"None",0,1,"4",0,"None",NA,"None","None",0,"as new","None"
2610,"house","house","315000","for sale",3,"140",1,"None",0,0,"None",0,"None",136,"None","2",0,"good","1930"
5500,"apartment","apartment","130000","for sale",2,"120",1,"None",0,1,"None",0,"None",NA,"None","2",0,"good","None"
1651,"house","house","325000","for sale",2,"200",1,"None",0,0,"None",1,"None",1652,"None","4",0,"to renovate","1900"
8310,"apartment","apartment","335000","for sale",3,"114",1,"None",0,1,"13",0,"None",NA,"None","None",0,"None","2019"
1020,"apartment","apartment","215000","for sale",2,"90",1,"None",0,1,"2",0,"None",NA,"None","2",0,"good","1935"
1800,"house","house","239000","for sale",3,"113",1,"None",0,1,"31",0,"None",0,"None","3",0,"None","None"
1050,"apartment","apartment","765000","for sale",3,"165",1,"None",0,1,"15",1,"60",NA,"None","2",0,"None","1910"
5002,"house","apartment block","225000","for sale",5,"None",1,"None",0,0,"None",0,"None",0,"None","None",0,"to be done up","None"
9840,"apartment","apartment","458000","for sale",2,"103",1,"None",0,1,"24",0,"None",NA,"None","2",0,"as new","2012"
6990,"house","bungalow","182500","for sale",2,"98",1,"None",1,1,"5",1,"1000",1000,"None","4",0,"as new","1953"
9240,"house","house","190000","for sale",3,"154",0,"None",0,0,"None",1,"None",146,"None","None",0,"to renovate","None"
5000,"apartment","apartment","179000","for sale",2,"60",1,"None",0,0,"None",0,"None",NA,"None","2",0,"good","None"
9000,"apartment","apartment","315000","for sale",3,"None",0,"None",0,0,"None",0,"None",NA,"None","2",0,"to be done up","None"
6810,"house","house","259000","for sale",3,"184",1,"None",0,1,"12",1,"800",1265,"None","4",0,"good","1996"
6500,"house","apartment block","250000","for sale",0,"None",0,"None",0,0,"None",0,"None",0,"None","4",0,"None","None"
1785,"apartment","apartment","279000","for sale",2,"90",0,"None",0,1,"18",1,"None",NA,"None","2",0,"as new","2020"
9550,"house","town house","170000","for sale",2,"None",0,"None",0,1,"None",0,"None",165,"None","2",0,"good","1971"
6240,"apartment","ground floor","175000","for sale",3,"104",1,"None",0,1,"None",1,"89",NA,"None","3",0,"good","2001"
1470,"apartment","ground floor","345000","for sale",3,"114",1,"None",0,1,"24",1,"None",NA,"None","None",0,"as new","None"
8300,"apartment","apartment","325000","for sale",2,"92",1,"None",0,1,"None",0,"None",NA,"None","2",0,"good","1990"
4020,"house","house","249000","for sale",4,"130",1,"None",0,1,"50",0,"None",123,"None","2",0,"as new","None"
1140,"apartment","apartment","250000","for sale",2,"80",1,"None",0,1,"2",0,"None",NA,"None","4",0,"just renovated","1970"
1435,"apartment","ground floor","298000","for sale",2,"95",1,"None",0,1,"17",0,"None",NA,"None","4",0,"good","2008"
3370,"apartment","apartment","274050","for sale",2,"90",0,"None",0,1,"9",0,"None",NA,"None","None",0,"as new","None"
9100,"apartment","apartment","325000","for sale",2,"94",0,"None",0,1,"10",0,"None",NA,"None","2",0,"None","2020"
3390,"apartment","apartment","206683","for sale",2,"77",1,"None",0,1,"17",0,"None",NA,"None","4",0,"None","2020"
1420,"house","mixed use building","299000","for sale",3,"200",0,"None",0,0,"None",0,"None",288,"None","4",0,"to renovate","1935"
8670,"apartment","apartment","315000","for sale",2,"87",1,"None",0,0,"None",0,"None",NA,"None","2",0,"as new","2007"
1180,"apartment","apartment","650000","for sale",3,"161",1,"None",0,1,"10",1,"500",NA,"None","2",0,"just renovated","None"
9450,"apartment","apartment","225000","for sale",2,"70",1,"None",0,1,"7",1,"1000",NA,"None","3",0,"as new","2018"
6200,"house","house","185000","for sale",4,"187",1,"None",0,1,"46",0,"None",277,"None","3",0,"good","None"
8400,"apartment","flat studio","197500","for sale",0,"38",1,"None",0,1,"6",0,"None",NA,"None","2",0,"good","1972"
3140,"house","house","649000","for sale",4,"287",0,"None",0,1,"None",1,"2598",2598,"None","4",0,"None","1943"
4683,"house","apartment block","315000","for sale",3,"225",0,"None",0,1,"None",1,"567",642,"None","3",0,"good","None"
4000,"house","villa","415000","for sale",4,"None",1,"None",1,1,"None",0,"None",800,"None","4",0,"to be done up","None"
8500,"apartment","apartment","147800","for sale",2,"None",1,"None",0,0,"None",0,"None",NA,"None","2",0,"to be done up","None"
1200,"apartment","apartment","615000","for sale",3,"176",1,"None",0,0,"None",0,"None",NA,"None","2",0,"as new","1930"
1070,"apartment","apartment","180000","for sale",1,"75",0,"None",0,1,"3",0,"None",NA,"None","None",0,"good","2007"
8750,"house","house","379000","for sale",3,"None",1,"None",0,0,"None",0,"None",763,"None","4",0,"as new","2020"
8000,"house","house","307000","for sale",4,"None",1,"None",0,0,"None",1,"None",200,"None","3",0,"as new","2020"
4800,"apartment","penthouse","217000","for sale",3,"110",1,"None",0,1,"42",0,"None",NA,"None","4",0,"as new","2017"
9100,"house","house","169000","for sale",3,"91",0,"None",0,0,"None",0,"None",70,"None","None",0,"None","1956"
6000,"apartment","apartment","119000","for sale",2,"74",1,"None",0,1,"None",0,"None",NA,"None","2",0,"as new","1982"
1700,"apartment","ground floor","195000","for sale",1,"55",1,"None",0,0,"None",1,"100",NA,"None","4",0,"None","None"
8000,"apartment","apartment","895000","for sale",2,"172",1,"None",0,1,"8",0,"None",NA,"None","None",0,"as new","2020"
5000,"apartment","apartment","315000","for sale",2,"None",1,"None",0,1,"8",0,"None",NA,"None","2",0,"as new","2012"
1428,"house","house","395800","for sale",3,"202",0,"None",0,1,"15",1,"180",282,"None","2",0,"None","2019"
1400,"apartment","apartment","150000","for sale",2,"81",0,"None",0,0,"None",0,"None",NA,"None","None",0,"None","1990"
3970,"apartment","apartment","212415","for sale",2,"102",0,"None",0,1,"None",0,"None",NA,"None","None",0,"as new","None"
9900,"house","bungalow","308000","for sale",2,"None",1,"None",0,1,"None",0,"None",924,"None","4",0,"to renovate","1977"
2300,"apartment","apartment","160000","for sale",2,"106",0,"None",0,0,"None",0,"None",NA,"None","2",0,"good","1964"
7370,"house","house","130000","for sale",3,"None",0,"None",0,0,"None",0,"None",0,"None","2",0,"to be done up","None"
4171,"house","house","140000","for sale",4,"150",1,"None",0,1,"13",1,"16",190,"None","3",0,"to be done up","None"
2610,"apartment","apartment","254000","for sale",2,"100",1,"None",0,1,"4",0,"None",NA,"None","3",0,"good","None"
7180,"apartment","apartment","195000","for sale",2,"86",1,"None",0,1,"10",0,"None",NA,"None","2",0,"None","2022"
1800,"apartment","apartment","175000","for sale",1,"50",1,"None",0,1,"4",0,"None",NA,"None","2",0,"good","2014"
6110,"house","exceptional property","650000","for sale",4,"600",1,"None",0,1,"None",0,"None",3684,"None","4",1,"as new","None"
3530,"house","mixed use building","359500","for sale",4,"290",1,"None",0,1,"None",0,"None",1050,"None","4",0,"good","1991"
7370,"apartment","apartment","135200","for sale",2,"82",1,"None",0,0,"None",0,"None",NA,"None","None",0,"as new","None"
8670,"apartment","flat studio","79500","for sale",1,"42",0,"None",0,0,"None",0,"None",NA,"None","None",0,"good","1968"
8510,"house","house","219000","for sale",4,"258",1,"None",0,1,"None",0,"None",323,"None","None",0,"good","None"
2220,"house","town house","359900","for sale",4,"168",0,"None",0,1,"23",0,"None",0,"None","2",0,"as new","2020"
2260,"house","chalet","175000","for sale",1,"111",1,"None",0,1,"None",0,"None",10509,"None","4",0,"None","1980"
8660,"apartment","apartment","280000","for sale",2,"121",1,"None",0,1,"None",1,"None",NA,"None","2",0,"good","2001"
1435,"house","house","435000","for sale",5,"160",1,"None",0,1,"None",0,"None",314,"None","2",0,"as new","2006"
1200,"apartment","duplex","775000","for sale",4,"218",1,"None",0,1,"51",0,"None",NA,"None","4",0,"as new","2016"
1083,"apartment","flat studio","129000","for sale",1,"56",1,"None",0,1,"None",0,"None",NA,"None","2",0,"good","1970"
7530,"house","house","183500","for sale",3,"100",1,"None",0,0,"None",0,"None",269,"None","2",0,"None","None"
2100,"house","house","249000","for sale",3,"87",1,"None",0,0,"None",0,"None",88,"None","2",0,"as new","None"
4000,"apartment","apartment","45000","for sale",3,"None",1,"None",0,1,"None",0,"None",NA,"None","2",0,"good","1977"
9000,"apartment","apartment","325000","for sale",3,"None",1,"None",0,0,"None",0,"None",NA,"None","2",0,"None","1970"
2650,"house","house","470000","for sale",3,"155",1,"None",0,0,"None",0,"None",0,"None","2",0,"good","None"
1930,"house","house","345000","for sale",3,"265",1,"None",0,1,"None",0,"None",305,"None","2",0,"to be done up","None"
8770,"apartment","apartment","385000","for sale",2,"132",0,"None",0,1,"None",0,"None",NA,"None","None",0,"as new","2018"
8000,"house","house","495000","for sale",4,"210",1,"None",0,1,"None",0,"None",0,"None","None",0,"as new","None"
8870,"house","house","154500","for sale",3,"None",0,"None",0,0,"None",0,"None",0,"None","None",0,"None","2019"
7890,"house","villa","295000","for sale",4,"240",1,"None",0,1,"None",1,"None",1391,"None","4",0,"as new","1964"
4100,"apartment","apartment","191000","for sale",2,"88",0,"None",0,1,"8",0,"None",NA,"None","None",0,"as new","None"
8470,"house","house","547000","for sale",3,"192",0,"None",0,1,"120",1,"500",1249,"None","4",0,"None","2008"
8660,"apartment","apartment","295000","for sale",2,"99",0,"None",0,1,"None",1,"None",NA,"None","None",0,"None","2015"
8400,"house","house","325000","for sale",4,"188",1,"None",0,1,"None",0,"None",256,"None","None",0,"good","None"
9550,"apartment","duplex","229000","for sale",2,"127",1,"None",0,1,"10",1,"None",NA,"None","None",0,"as new","None"
9300,"apartment","apartment","189000","for sale",2,"95",1,"None",0,0,"None",0,"None",NA,"None","None",0,"as new","2000"
7380,"house","house","75000","for sale",2,"103",0,"None",0,0,"None",1,"1",120,"None","2",0,"None","None"
1360,"house","mansion","229000","for sale",3,"190",1,"None",0,1,"45",1,"810",723,"None","4",0,"to be done up","1900"
6060,"house","apartment block","340000","for sale",8,"280",0,"None",0,1,"3",0,"None",143,"None","4",0,"good","1964"
1700,"house","house","445000","for sale",4,"187",1,"None",0,1,"None",1,"None",932,"None","4",0,"None","None"
8370,"apartment","apartment","249000","for sale",2,"104",0,"None",0,1,"None",0,"None",NA,"None","None",0,"None","1998"
8770,"apartment","apartment","234723","for sale",2,"94",0,"None",0,1,"None",0,"None",NA,"None","None",0,"as new","2019"
1700,"apartment","ground floor","368000","for sale",2,"104",1,"None",0,1,"11",1,"189",NA,"None","3",0,"None","2020"
3581,"house","house","210000","for sale",3,"None",0,"None",0,0,"None",0,"None",0,"None","None",0,"None","2020"
